x0,x1,y,source
0.31940388883889725,0.7629593742689353,1.3226770395454077e-79,initial
0.5743292145098291,0.879898104984359,1.0330782375230975e-46,initial
0.7310236309563586,0.7329998764152272,7.710875114502849e-16,initial
0.8403534169072556,0.26473161399676703,3.341771007676023e-124,initial
0.6501140597987644,0.6815263520602101,-0.0036060626443634764,initial
0.41043713662518566,0.14755429902998185,-2.1592490357331095e-54,initial
0.31269115679477755,0.07872277794971883,-2.0890932702320842e-91,initial
0.6834181688515067,0.8610574643936101,2.5350011535584046e-40,initial
0.08250725182080587,0.403487506426324,3.6067711901420254e-81,initial
0.8838898288181171,0.5822539743824439,6.229856468168659e-48,initial
0.786760,0.491182,4.396944522294241e-31,week_1_submission
0.368873,0.056204,5.476941139654942e-96,week_2_submission
0.150000,0.750000,-7.094151402257775e-128,week_3_submission
